Name,Type,WTO ID,Region,All WTO,Cross Regional,Language,Total articles,Total words,Number of unique words,Niceness,Class 0,Class 1,Class 2,Year,rta,tradeflow_baci,manuf_tradeflow_baci,Pair,Relative GDP
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2007,1.0,25951781.938,25747708.0,"('JPN', 'THA')",0.6979376059822336
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2008,1.0,29684994.125,29476708.0,"('JPN', 'THA')",0.6906155006139386
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2009,1.0,22323128.563,22130968.0,"('JPN', 'THA')",0.6770876541998055
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2010,1.0,34260939.906,33966444.0,"('JPN', 'THA')",0.6692475255034204
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2011,1.0,37401882.625,37068648.0,"('JPN', 'THA')",0.6668513540703093
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2012,1.0,43468257.313,43160732.0,"('JPN', 'THA')",0.6524662728575039
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2013,1.0,35738979.188,35473708.0,"('JPN', 'THA')",0.6531542426282778
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2014,1.0,31398216.063,31093508.0,"('JPN', 'THA')",0.6480680651526572
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2015,1.0,27910179.297,27661504.0,"('JPN', 'THA')",0.6456545725423101
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2016,1.0,27362456.438,27051602.0,"('JPN', 'THA')",0.6377356955530792
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2017,1.0,28908488.281,28644540.0,"('JPN', 'THA')",0.6224006764864733
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2018,1.0,31661571.125,31320360.0,"('JPN', 'THA')",0.6052120977359676
Japan - Thailand,Free Trade Agreement & Economic Integration Agreement,1,East Asia,Yes,No,en,175,187922,3635,0,0.72,0.09714285714285714,0.18285714285714288,2019,1.0,,,"('JPN', 'THA')",0.6053221663315871
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2007,1.0,620053.5079999999,494840.906,"('EGY', 'TUR')",0.2185601330497365
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2008,1.0,1109620.3590000002,948181.438,"('EGY', 'TUR')",0.21940810917136436
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2009,1.0,833676.6170000002,747702.688,"('EGY', 'TUR')",0.18331676265472743
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2010,1.0,1133751.031,988201.875,"('EGY', 'TUR')",0.21708694244156546
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2011,1.0,1652055.563,1350857.25,"('EGY', 'TUR')",0.2620973531010477
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2012,1.0,1714651.719,1300200.25,"('EGY', 'TUR')",0.2732880429215374
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2013,1.0,1999144.359,1790444.5,"('EGY', 'TUR')",0.29917065228100537
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2014,1.0,1749250.195,1662094.0,"('EGY', 'TUR')",0.3014694862508211
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2015,1.0,1417736.102,1324325.5,"('EGY', 'TUR')",0.3025908384220526
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2016,1.0,1631209.5,1513438.5,"('EGY', 'TUR')",0.28818934010545083
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2017,1.0,2147981.891,2058302.25,"('EGY', 'TUR')",0.3647819453827594
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2018,1.0,2423588.813,2138792.25,"('EGY', 'TUR')",0.34205505250329177
Egypt - Turkey,Free Trade Agreement,2,Africa; Europe,Yes,Yes,en,40,25708,1057,0,0.725,0.0,0.275,2019,1.0,,,"('EGY', 'TUR')",0.31116645272338994
Chile - Japan,Free Trade Agreement & Economic Integration Agreement,3,South America; East Asia,Yes,Yes,en,201,202122,4989,0,0.6318407960199005,0.17412935323383086,0.19402985074626866,2007,1.0,7628065.375,2045390.375,"('CHL', 'JPN')",0.8816065327533692
Chile - Japan,Free Trade Agreement & Economic Integration Agreement,3,South America; East Asia,Yes,Yes,en,201,202122,4989,0,0.6318407960199005,0.17412935323383086,0.19402985074626866,2008,1.0,6448266.5,2146772.5,"('CHL', 'JPN')",0.8842990582775574
Chile - Japan,Free Trade Agreement & Economic Integration Agreement,3,South America; East Asia,Yes,Yes,en,201,202122,4989,0,0.6318407960199005,0.17412935323383086,0.19402985074626866,2009,1.0,5142135.375,1699375.375,"('CHL', 'JPN')",0.878647957026507
Chile - Japan,Free Trade Agreement & Economic Integration Agreement,3,South America; East Asia,Yes,Yes,en,201,202122,4989,0,0.6318407960199005,0.17412935323383086,0.19402985074626866,2010,1.0,7733312.625,2026978.625,"('CHL', 'JPN')",0.8698588896706497
Chile - Japan,Free Trade Agreement & Economic Integration Agreement,3,South America; East Asia,Yes,Yes,en,201,202122,4989,0,0.6318407960199005,0.17412935323383086,0.19402985074626866,2011,1.0,9139697.75,2952761.25,"('CHL', 'JPN')",0.8575986253378548
Chile - Japan,Free Trade Agreement & Economic Integration Agreement,3,South America; East Asia,Yes,Yes,en,201,202122,4989,0,0.6318407960199005,0.17412935323383086,0.19402985074626866,2012,1.0,8354117.75,2345668.75,"('CHL', 'JPN')",0.8538387478940251
Chile - Japan,Free Trade Agreement & Economic Integration Agreement,3,South America; East Asia,Yes,Yes,en,201,202122,4989,0,0.6318407960199005,0.17412935323383086,0.19402985074626866,2013,1.0,7498833.0,1981252.5,"('CHL', 'JPN')",0.8529130107340263
Chile - Japan,Free Trade Agreement & Economic Integration Agreement,3,South America; East Asia,Yes,Yes,en,201,202122,4989,0,0.6318407960199005,0.17412935323383086,0.19402985074626866,2014,1.0,7386989.75,2254470.25,"('CHL', 'JPN')",0.8499633203437785
Chile - Japan,Free Trade Agreement & Economic Integration Agreement,3,South America; East Asia,Yes,Yes,en,201,202122,4989,0,0.6318407960199005,0.17412935323383086,0.19402985074626866,2015,1.0,5308307.0,1848623.5,"('CHL', 'JPN')",0.8501941290842676
